Provinsi,year,"IPM","LamaSekolah","PendudukMiskin","AktaKelahiran","PersentaseMerokok","KonsumsiKalori","MelekHuruf","Penerangan","IDI","TeleponGenggam","AnakBekerja"
Banten,2019,72.44,9.07,654.46,80.45,31.69,2248.65,98.83,99.56,72.6,65.21,1.31
Bali,2019,75.38,9.19,163.85,92.72,20.96,2257.48,98.11,99.87,81.38,69.61,3.02
Nusa Tenggara Barat,2019,68.14,7.98,735.96,81.72,30.49,2451.65,92.54,99.55,76.64,57.1,4.08
Nusa Tenggara Timur,2019,65.23,7.98,1146.32,61.08,27.33,1916.72,95.76,70.07,81.02,45.01,3.42
Kalimantan Barat,2019,67.65,7.8,378.41,85.1,28.5,1912.03,96.19,85.18,77.66,58.57,2.55
Kalimantan Tengah,2019,70.91,8.83,134.59,83.97,29.84,2148.80,99.92,84.45,81.16,70.28,3.06
Kalimantan Selatan,2019,70.72,8.59,192.48,90.28,23.95,2270.35,99.68,98.01,79.47,68.97,2.31
Kalimantan Timur,2019,76.61,9.88,219.92,92.69,24.52,2022.32,99.76,93.77,77.67,76.88,1.43
Kalimantan Utara,2019,71.15,9.24,48.78,91.47,27.63,2006.92,98.19,91.26,83.45,74.32,2.66
Sulawesi Utara,2019,72.99,9.63,191.7,88.97,28.41,2148.40,99.88,99.16,77.08,67.9,2.45
Sulawesi Tengah,2019,69.5,8.98,410.36,78.02,31.64,2017.54,99.47,90.68,77.27,57.68,4.04
Sulawesi Selatan,2019,71.66,8.73,767.8,89.35,25.59,2139.38,95.78,96.82,70.58,65.07,4.9
Sulawesi Tenggara,2019,71.2,9.25,302.58,88.12,26.8,2083.17,97.46,94.02,65.21,62.68,5.26
Gorontalo,2019,68.49,8.11,186.03,92.99,32.37,2089.68,99.33,97.33,76.29,60.36,4.57
Sulawesi Barat,2019,65.73,8.22,151.4,89.11,27.06,2119.26,96.02,84.83,77.42,52.18,3.46
Maluku,2019,69.45,10.03,317.69,78.66,27.09,1782.61,99.56,89.56,68.22,56.96,3.04
Maluku Utara,2019,68.7,9.32,84.6,79.2,31.18,1765.13,99.79,86.47,69.89,53.69,3.51
Papua Barat,2019,64.7,9.92,211.5,75.05,28.67,1922.27,98.47,81.33,57.62,66.49,2.3
Papua,2019,60.84,6.85,926.36,45.88,26.05,1863.07,78.1,44.49,65.25,38.5,3.17
Aceh,2020,71.99,9.71,814.91,93.84,28.06,2091.25,99.56,99.39,73.93,53.45,1.98
Sumatera Utara,2020,71.77,9.83,1283.29,80.45,27.28,2121.57,99.68,97.64,65.13,53.6,6.39
Sumatera Barat,2020,72.38,9.34,344.23,90.1,30.08,2109.93,99.77,97.39,73,55.89,4.29
Riau,2020,72.71,9.47,483.39,81.83,28.06,2076.15,99.93,91.04,76.86,59.59,3.37
Jambi,2020,71.29,8.97,277.8,93.73,28.01,2080.60,99.67,95.68,75.53,58.76,2.43
Sumatera Selatan,2020,70.01,8.68,1081.58,90.65,30.56,2127.77,99.57,94.87,74.8,55.18,3.41
Bengkulu,2020,71.4,9.2,302.58,92.77,32.31,2107.27,99.7,97.36,72.2,54.72,2.98
Lampung,2020,69.69,8.51,1049.32,91.65,33.43,2024.63,99.3,97.81,72.79,53.88,4.01
Kepulauan Bangka Belitung,2020,71.47,8.49,68.39,96.07,28.23,2120.50,99.07,98.98,77.39,60.75,4.81
Kepulauan Riau,2020,75.59,10.22,131.97,94.71,26.16,2140.41,99.61,95.85,76.72,67.15,1.19
Dki Jakarta,2020,80.77,11.17,480.86,97.52,25.75,2198.72,99.89,99.99,89.21,71.25,1.3
Jawa Barat,2020,72.09,8.96,3920.23,85.72,32.55,2173.59,99.9,99.64,71.32,59.27,1.91
Jawa Tengah,2020,71.87,8.19,3980.9,96.26,27.7,2054.43,97.97,99.85,75.43,56.41,2.31
Daerah Istimewa Yogyakarta,2020,79.97,9.95,475.72,98.36,22.64,2146.57,99.02,99.74,81.59,62.93,1.91
Jawa Timur,2020,71.71,8.31,4419.1,91.62,27.78,2080.67,96.79,99.47,70.71,57.59,2.59
Banten,2020,72.45,9.22,775.99,82.82,31.58,2250.36,99.11,99.39,75.82,58.52,2.02
Bali,2020,75.5,9.31,165.19,93.85,20.5,2293.11,98.34,99.75,77.59,64.87,4.31
Nusa Tenggara Barat,2020,68.25,8.08,713.89,84.98,30.58,2441.93,92.48,99.43,74.27,50.94,6.55
Nusa Tenggara Timur,2020,65.19,8.09,1153.76,63.33,26.14,1948.11,95.76,74.05,77.29,39.19,5.67
Kalimantan Barat,2020,67.66,7.9,366.77,87.71,27.49,1907.88,96.46,86.48,81.09,52.8,4.01
Kalimantan Tengah,2020,71.05,8.95,132.94,87.36,28.89,2141.22,99.91,85.73,74.91,62.46,4.81
Kalimantan Selatan,2020,70.91,8.69,187.87,92.19,23.83,2271.73,99.66,98.04,74.05,61.64,3.11
Kalimantan Timur,2020,76.24,9.99,230.26,93.38,24.42,2019.56,99.74,95.46,81.99,69.56,3.11
Kalimantan Utara,2020,70.63,9.3,51.79,92.64,25.66,1944.47,98.6,93.36,78.24,65.01,4.84
Sulawesi Utara,2020,72.93,9.74,192.37,91,27.95,2152.32,99.84,99.27,79,61.97,3.15
Sulawesi Tengah,2020,69.55,9.09,398.73,83.37,30.64,2039.84,99.44,92.79,75.85,52.54,5.59
Sulawesi Selatan,2020,71.93,8.86,776.83,91.06,24.89,2093.31,95.89,97.10,67.61,59.18,6.16
Sulawesi Tenggara,2020,71.45,9.41,301.82,88.58,25.77,2027.62,97.53,95.47,67.73,56.91,8.05
Gorontalo,2020,68.68,8.26,185.02,93.32,30.3,2045.01,99.33,97.34,83.21,55.7,5.46
Sulawesi Barat,2020,66.11,8.33,152.02,89.56,26.85,2074.92,95.54,87.80,73.09,48.58,5.28
Maluku,2020,69.49,10.2,318.18,80.04,26.18,1772.15,99.56,89.99,73.22,50.13,3.35
Maluku Utara,2020,68.49,9.42,86.37,83.08,29.83,1773.40,99.71,89.22,71.68,49.11,3.8
Papua Barat,2020,65.09,10,208.58,77.36,25.8,1902.71,98.23,83.09,61.76,59.81,5.35
Papua,2020,60.44,6.96,911.37,50.4,26.97,1914.12,77.97,43.14,64.54,36.91,3.49
